Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,,,User_Score,User_Count
Ben 10 Ultimate Alien: Cosmic Destruction,X360,2010,Platform,D3Publisher,0.1,0.06,0,0.02,0.18,,,5.3,4
Pure Futbol,X360,2010,Sports,Ubisoft,0.08,0.08,0,0.02,0.18,,,7.9,29
Spider-Man: Friend or Foe,PSP,2007,Action,Activision,0.16,0,0,0.01,0.18,,,4.4,9
Sing4: The Hits Edition,Wii,2011,Misc,Crave Entertainment,0.17,0,0,0.01,0.18,,,tbd,
Gun,GC,2005,Shooter,Activision,0.14,0.04,0,0,0.18,,,8.6,8
SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games,0.16,0.01,0,0.01,0.18,,,5.7,24
Rio,Wii,2011,Misc,THQ,0.13,0.03,0,0.01,0.18,,,tbd,
F1 Challenge,SAT,1994,Racing,Sega,0,0,0.18,0,0.18,,,,
Squeeballs Party,Wii,2009,Puzzle,Performance Designed Products,0.17,0,0,0.01,0.18,,,tbd,
Metal Gear Ac!d 2,PSP,2005,Strategy,Konami Digital Entertainment,0.11,0,0.05,0.01,0.18,,,,
Shadow Madness,PS,1999,Action,Crave Entertainment,0.1,0.07,0,0.01,0.18,,,,
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0,0.02,0.18,,,3.5,1156
Tiger Woods PGA Tour 2004,GBA,2003,Sports,Electronic Arts,0.13,0.05,0,0,0.18,,,7.5,4
The Game of Life / Yahtzee / Payday,GBA,2005,Misc,Zoo Digital Publishing,0.13,0.05,0,0,0.18,,,,
FIFA Soccer 11,PC,2010,Sports,Electronic Arts,0,0.14,0,0.04,0.18,,,7.7,102
American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0,0.02,0.18,,,8.1,9
Borderlands,PC,2009,Shooter,Take-Two Interactive,0.01,0.14,0,0.03,0.18,,,7.8,1363
de Blob 2,Wii,2011,Platform,THQ,0.11,0.06,0,0.02,0.18,,,8.1,26
Silent Hill 4: The Room,XB,2004,Action,Konami Digital Entertainment,0.14,0.04,0,0.01,0.18,,,8.3,26
Commandos 2: Men of Courage,PS2,2002,Strategy,Eidos Interactive,0.09,0.07,0,0.02,0.18,,,6.8,11
Remember Me,X360,2013,Action,Capcom,0.1,0.06,0,0.02,0.18,,,7.5,267
Brink,PC,2011,Shooter,Bethesda Softworks,0.06,0.09,0,0.03,0.18,,,6,547
FIFA Soccer 2002,GC,2001,Sports,Electronic Arts,0.14,0.04,0,0,0.18,,,8,9
Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment,0.05,0.02,0.1,0.01,0.18,,,,
Atari Anniversary Edition Redux,PS,2000,Misc,Infogrames,0.1,0.07,0,0.01,0.18,,,,
Lips: Party Classics,X360,2010,Misc,Microsoft Game Studios,0.05,0.11,0,0.02,0.18,,,tbd,
Toukiden: The Age of Demons,PSP,2013,Action,Tecmo Koei,0,0,0.18,0,0.18,,,,
Fireblade,PS2,2002,Action,Midway Games,0.09,0.07,0,0.02,0.18,,,,
Disney's Tarzan Untamed,GC,2001,Platform,Ubisoft,0.14,0.04,0,0,0.18,,,7.4,8
Brunswick Circuit Pro Bowling,PS,1998,Sports,THQ,0.1,0.07,0,0.01,0.18,,,,
Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,THQ,0.14,0.03,0,0.01,0.18,,,tbd,
Trinity Universe,PS3,2009,Role-Playing,Nippon Ichi Software,0.07,0.05,0.03,0.02,0.18,,,7.2,28
Payday 2,XOne,2015,Shooter,505 Games,0.09,0.07,0,0.02,0.18,,,,
Pirates: Hunt For Blackbeard's Booty,Wii,2008,Adventure,Activision,0.08,0.08,0,0.02,0.18,,,tbd,
Cabela's Dangerous Hunts 2009,PS2,2008,Sports,Activision Value,0.09,0.07,0,0.02,0.18,,,9.2,5
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0,0.08,0.02,0.18,,,8,96
Ball Breakers,PS,2000,Action,Take-Two Interactive,0.1,0.07,0,0.01,0.18,,,5.3,4
Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005,Action,Namco Bandai Games,0,0,0.18,0,0.18,,,,
Splatterhouse,X360,2010,Action,Namco Bandai Games,0.14,0.03,0,0.01,0.18,,,7.6,60
EyeToy: Groove,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,,,8,5
You Don't Know Jack,PS3,2011,Misc,THQ,0.16,0,0,0.01,0.18,,,7.3,18
Chuck E. Cheese's Party Games,DS,2010,Misc,UFO Interactive,0.17,0,0,0.01,0.18,,,tbd,
Twisted Metal: Small Brawl,PS,N/A,Action,Unknown,0.1,0.07,0,0.01,0.18,,,7.6,49
Otomedius Excellent,X360,N/A,Shooter,Unknown,0.13,0,0.04,0.01,0.18,,,8.1,16
Charlie and the Chocolate Factory,GC,2005,Adventure,Global Star,0.14,0.04,0,0,0.18,,,3.2,6
Armored Core: Last Raven,PS2,2005,Simulation,505 Games,0.05,0.04,0.08,0.01,0.18,,,8.9,14
Burnout Legends,DS,2005,Racing,Electronic Arts,0.15,0.02,0,0.01,0.18,,,6,59
Tomb Raider: Underworld,PS2,2009,Action,Eidos Interactive,0.09,0.04,0,0.05,0.18,,,5.8,30
College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,0.16,0,0,0.01,0.18,,,7.1,8
Hello Kitty: Birthday Adventures,DS,2010,Adventure,Namco Bandai Games,0.06,0.1,0,0.02,0.18,,,tbd,
All Grown Up! Express Yourself,GBA,2004,Misc,THQ,0.13,0.05,0,0,0.18,,,,
Escape The Museum,DS,2010,Adventure,Astragon,0.04,0.12,0,0.02,0.18,,,tbd,
K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01,0.18,,,9,7
Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,Namco Bandai Games,0,0,0.18,0,0.18,,,,
Super Robot Taisen A Portable,PSP,2008,Strategy,Namco Bandai Games,0,0,0.18,0,0.18,,,,
Juiced,XB,2005,Racing,THQ,0.13,0.04,0,0.01,0.18,,,9.1,15
Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,Action,505 Games,0.11,0.01,0.05,0.01,0.18,,,3,12
Looney Tunes: Back in Action,GBA,2003,Platform,Electronic Arts,0.13,0.05,0,0,0.18,,,tbd,
Shaun White Skateboarding,Wii,2010,Sports,Ubisoft,0.13,0.03,0,0.01,0.18,,,tbd,
DiRT Showdown,PS3,2012,Racing,Codemasters,0.02,0.12,0,0.03,0.18,,,6.3,43
Virtua Tennis,GBA,2002,Sports,Atari,0.13,0.05,0,0,0.18,,,tbd,
Cabela's Big Game Hunter: Hunting Party,X360,2011,Sports,Activision,0.16,0,0,0.02,0.18,,,5,4
Tales of the Tempest,DS,2006,Role-Playing,Namco Bandai Games,0,0,0.18,0,0.18,,,,
SimCity Creator (JP sales),DS,2008,Simulation,Electronic Arts,0,0,0.18,0,0.18,,,,
Biohazard: Revival Selection,PS3,2011,Action,Capcom,0,0,0.18,0,0.18,,,,
Sonic Riders: Zero Gravity,PS2,2008,Racing,Sega,0.09,0.07,0,0.02,0.18,,,8.3,27
UFC: Sudden Impact,PS2,2004,Fighting,Global Star,0.09,0.07,0,0.02,0.18,,,7.7,7
NBA Hoopz,PS2,2001,Sports,Midway Games,0.09,0.07,0,0.02,0.18,,,tbd,
ESPN X Games Skateboarding,GBA,2001,Sports,Konami Digital Entertainment,0.13,0.05,0,0,0.18,,,tbd,
Nancy Drew: The Hidden Staircase,DS,2008,Adventure,THQ,0.16,0,0,0.01,0.18,,,6,6
Speedball 2100,PS,2000,Sports,Empire Interactive,0.1,0.07,0,0.01,0.18,,,tbd,
Full Auto 2: Battlelines,PS3,2006,Racing,Sega,0.14,0.02,0,0.02,0.18,,,7.6,25
College Hoops 2K8,X360,2007,Sports,Take-Two Interactive,0.16,0,0,0.01,0.18,,,6.9,16
LEGO Island 2: The Brickster's Revenge,PS,2001,Adventure,LEGO Media,0.1,0.07,0,0.01,0.18,,,,
How to Train Your Dragon,PS3,2010,Action,Activision,0.12,0.03,0,0.02,0.18,,,7,6
Backyard Basketball,GBA,2004,Sports,Atari,0.13,0.05,0,0,0.18,,,tbd,
Madden NFL 09,XB,2008,Sports,Electronic Arts,0.13,0.04,0,0.01,0.18,,,5.5,6
Dynasty Warriors: Gundam 3,X360,2010,Action,Tecmo Koei,0.11,0.03,0.02,0.01,0.18,,,7.8,20
Scooby-Doo! Unmasked,GBA,2005,Platform,THQ,0.13,0.05,0,0,0.18,,,,
Summon Night 4,PS2,2006,Role-Playing,Banpresto,0,0,0.18,0,0.18,,,,
NHL 2004,XB,2003,Sports,Electronic Arts,0.13,0.04,0,0.01,0.18,,,6.5,31
Pro Yaky? Spirits 5,PS2,2008,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18,,,,
Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.05,0,0.03,0.18,,,7.1,18
Namco Museum: 50th Anniversary,XB,2005,Misc,Namco Bandai Games,0.13,0.04,0,0.01,0.18,,,tbd,
Monster 4x4: Stunt Racer,Wii,2009,Racing,Ubisoft,0.16,0,0,0.01,0.18,,,5.2,9
Velvet Assassin,X360,2009,Shooter,DTP Entertainment,0.14,0.02,0.01,0.01,0.18,,,7.1,55
NFL 2K2,XB,2002,Sports,Sega,0.13,0.04,0,0.01,0.18,,,tbd,
MindJack,PS3,2011,Shooter,Square Enix,0.07,0.07,0,0.03,0.18,,,1.7,46
Marvel Super Hero Squad: Comic Combat,X360,2011,Action,THQ,0.13,0.04,0,0.01,0.18,,,tbd,
NBA Starting Five,PS2,N/A,Sports,Unknown,0.09,0.07,0,0.02,0.18,,,7.3,7
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0,0.03,0.18,,,6.1,70
WWE SmackDown vs. Raw 2009,DS,2008,Fighting,THQ,0.14,0.02,0,0.01,0.18,,,7.8,6
Dead or Alive Paradise,PSP,2010,Misc,Ubisoft Annecy,0.07,0.02,0.07,0.02,0.18,,,5.6,37
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0,0.01,0.17,,,7.1,2318
The Suffering: Ties That Bind,PS2,2005,Action,Midway Games,0.09,0.07,0,0.02,0.17,,,8,23
EyeToy: Kinetic,PS2,2005,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02,0.17,,,8.3,11
Transformers: Prime,3DS,2012,Action,Activision,0.13,0.02,0,0.02,0.17,,,,
Fancy Nancy: Tea Party Time!,DS,2010,Adventure,THQ,0.16,0,0,0.01,0.17,,,tbd,
Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0,0.02,0.17,,,7,151
Army Men: Sarge's Heroes 2,PS2,2001,Shooter,Midas Interactive Entertainment,0.09,0.07,0,0.02,0.17,,,4.6,5
Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0,0,0.17,0,0.17,,,,
The Wild Thornberrys: Animal Adventures,PS,2000,Adventure,Mattel Interactive,0.1,0.07,0,0.01,0.17,,,,
Cabela's Adventure Camp,Wii,2011,Misc,Activision,0.14,0.02,0,0.02,0.17,,,tbd,
SEGA Bass Fishing Duel,PS2,2002,Sports,Sega,0.09,0.07,0,0.02,0.17,,,tbd,
Teen Titans,GBA,N/A,Action,Unknown,0.13,0.05,0,0,0.17,,,tbd,
Sports Illustrated for Kids: Baseball,GBA,2001,Sports,BAM! Entertainment,0.12,0.05,0,0,0.17,,,tbd,
Mark Davis Pro Bass Challenge,PS2,2002,Sports,Natsume,0.09,0.07,0,0.02,0.17,,,tbd,
Rugrats: Royal Ransom,GC,2002,Platform,THQ,0.13,0.03,0,0,0.17,,,6.7,6
Winning Eleven: Pro Evolution Soccer 2007,DS,2006,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,,,7.9,12
Warriors of Might and Magic,PS2,2001,Adventure,3DO,0.09,0.07,0,0.02,0.17,,,4.5,6
Rapala Fishing Frenzy 2009,PS3,2008,Sports,Activision,0.16,0,0,0.01,0.17,,,4.4,9
Petz: Horseshoe Ranch,DS,2009,Adventure,Ubisoft,0.16,0,0,0.01,0.17,,,tbd,
Open Season,GC,2006,Platform,Ubisoft,0.13,0.03,0,0,0.17,,,tbd,
Ridge Racer,PSV,2011,Racing,Namco Bandai Games,0.03,0.07,0.05,0.02,0.17,,,3.7,59
EyePet & Friends,PS3,2011,Simulation,Sony Computer Entertainment,0.06,0.08,0,0.03,0.17,,,,
Street Fighter: The Movie,PS,1995,Fighting,Acclaim Entertainment,0.1,0.07,0,0.01,0.17,,,,
Major League Baseball 2K9,PS3,2009,Sports,Spike,0.16,0,0,0.01,0.17,,,4,6
World Championship Poker,GBA,2004,Misc,Crave Entertainment,0.12,0.05,0,0,0.17,,,tbd,
Global Defence Force,PS2,2005,Shooter,Essential Games,0,0,0.17,0,0.17,,,,
Major League Baseball 2K6,GC,2006,Sports,Take-Two Interactive,0.13,0.03,0,0,0.17,,,tbd,
WordJong Party,Wii,2008,Puzzle,Destineer,0.16,0,0,0.01,0.17,,,tbd,
SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,2009,Role-Playing,Square Enix,0,0,0.17,0,0.17,,,,
Smash Court Tennis Pro Tournament,PS2,2002,Sports,Sony Computer Entertainment,0.08,0.07,0,0.02,0.17,,,7.4,10
Super Robot Taisen L,DS,2010,Strategy,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Race Pro,X360,2009,Racing,Atari,0.06,0.09,0,0.02,0.17,,,7,60
The Grim Adventures of Billy & Mandy,GC,2006,Action,Midway Games,0.13,0.03,0,0,0.17,,,,
NBA Inside Drive 2004,XB,2003,Sports,Microsoft Game Studios,0.13,0.04,0,0.01,0.17,,,8.2,11
The King of Fighters '97,PS,1998,Fighting,SNK,0,0,0.16,0.01,0.17,,,,
Time Commando,PS,1996,Action,Adeline Software,0.1,0.07,0,0.01,0.17,,,,
Professional Fisherman's Tour: Northern Hemisphere,DS,2007,Sports,505 Games,0.16,0,0,0.01,0.17,,,tbd,
Kekkaishi: Karasumori Ayakashi Kidan,DS,2007,Action,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.07,0,0.02,0.17,,,9.1,14
Dungeon Siege III,PC,2011,Role-Playing,Square Enix,0.08,0.08,0,0.02,0.17,,,4.7,399
The Hobbit,GC,2003,Platform,Vivendi Games,0.13,0.03,0,0,0.17,,,7.3,8
MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0,0.12,0.03,0.02,0.17,,,,
Backyard Sports Football: Rookie Rush,DS,2010,Sports,Atari,0.16,0,0,0.01,0.17,,,,
Skate it,DS,2008,Sports,Electronic Arts,0.14,0.02,0,0.01,0.17,,,7.8,12
Cabela's Legendary Adventures,Wii,2008,Sports,Activision,0.16,0,0,0.01,0.17,,,tbd,
True Crime: New York City,GC,2005,Action,Activision,0.13,0.03,0,0,0.17,,,8.8,24
Metal Arms: Glitch in the System,XB,2003,Shooter,Vivendi Games,0.13,0.04,0,0.01,0.17,,,8.7,15
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012,Action,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,,,7.6,74
Trauma Team,Wii,N/A,Simulation,Unknown,0.14,0,0.02,0.01,0.17,,,8.8,25
The Secret World,PC,2012,Role-Playing,Funcom,0.07,0.08,0,0.02,0.17,,,8.2,1326
Ice Age: Dawn of the Dinosaurs,PS2,2009,Action,Activision,0.08,0.07,0,0.02,0.17,,,tbd,
ESPN Final Round Golf 2002,GBA,2001,Sports,Konami Digital Entertainment,0.12,0.05,0,0,0.17,,,tbd,
Iron Chef America: Supreme Cuisine,Wii,2008,Simulation,Destineer,0.16,0,0,0.01,0.17,,,tbd,
MDK2 Armageddon,PS2,2001,Shooter,Virgin Interactive,0.08,0.07,0,0.02,0.17,,,8.3,11
Exhibition Volume 02,XB,2003,Misc,Microsoft Game Studios,0.13,0.04,0,0.01,0.17,,,,
NHL 2K9,X360,2008,Sports,Take-Two Interactive,0.15,0.01,0,0.01,0.17,,,6.7,7
I Spy: Castle,DS,2011,Puzzle,Scholastic Inc.,0.16,0,0,0.01,0.17,,,tbd,
Fight Night Round 2,GC,2005,Fighting,Electronic Arts,0.13,0.03,0,0,0.17,,,7.9,7
Backbreaker,PS3,N/A,Sports,Unknown,0.16,0,0,0.01,0.17,,,7,52
Disney's Atlantis: The Lost Empire,PS,2001,Platform,Sony Computer Entertainment,0.1,0.07,0,0.01,0.17,,,8.5,6
Power Pro Kun Pocket,GB,1999,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,,,,
The King of Fighters '97,SAT,1998,Fighting,SNK,0,0,0.17,0,0.17,,,,
Tamagotchi no Narikiri Challenge,DS,2010,Action,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Madden NFL 17,X360,2016,Sports,Electronic Arts,0.14,0.02,0,0.02,0.17,,,0.7,6
Jewel Match,DS,2010,Puzzle,PlayV,0.05,0.11,0,0.02,0.17,,,tbd,
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,Namco Bandai Games,0,0,0.16,0.01,0.17,,,,
Lost in Blue 3,DS,2007,Adventure,Konami Digital Entertainment,0.09,0.02,0.06,0.01,0.17,,,tbd,
Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,1999,Adventure,ChunSoft,0,0,0.16,0.01,0.17,,,,
Stormrise,PS3,2009,Strategy,Sega,0.13,0.02,0,0.02,0.17,,,5.3,20
Psi-Ops: The Mindgate Conspiracy,XB,2004,Shooter,Midway Games,0.13,0.04,0,0.01,0.17,,,7.9,18
X-Men: The Official Game,X360,2006,Action,Activision,0.16,0,0,0.01,0.17,,,6.1,20
SWAT: Global Strike Team,XB,2003,Shooter,Vivendi Games,0.13,0.04,0,0.01,0.17,,,6.3,7
Horrid Henry: Missions of Mischief,DS,2010,Adventure,SouthPeak Games,0.01,0.14,0,0.02,0.17,,,,
Cabela's Legendary Adventures,PSP,2008,Sports,Activision,0.16,0,0,0.02,0.17,,,tbd,
Pictionary,DS,2010,Puzzle,THQ,0.09,0.06,0,0.02,0.17,,,tbd,
Hitman: HD Trilogy,X360,2013,Action,Square Enix,0.07,0.08,0,0.02,0.17,,,7.2,45
MX World Tour Featuring Jamie Little,PS2,2005,Racing,Play It,0.08,0.07,0,0.02,0.17,,,tbd,
Goblin Commander: Unleash the Horde,PS2,2003,Strategy,Jaleco,0.08,0.07,0,0.02,0.17,,,8.7,14
uDraw Studio: Instant Artist,Wii,2011,Misc,THQ,0.06,0.09,0,0.02,0.17,,,tbd,
Hello Kitty: Happy Party Pals,GBA,2005,Misc,THQ,0.12,0.05,0,0,0.17,,,,
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,,,,
Backyard NFL Football '09,PS2,2008,Sports,Atari,0.08,0.07,0,0.02,0.17,,,,
World Destruction League: Thunder Tanks,PS2,2000,Action,3DO,0.08,0.07,0,0.02,0.17,,,5.9,7
Tom Clancy's Ghost Recon: Future Soldier,PC,2012,Shooter,Ubisoft,0.05,0.1,0,0.02,0.17,,,4.9,368
Backyard Baseball '10,PS2,2009,Sports,Atari,0.08,0.07,0,0.02,0.17,,,tbd,
Resident Evil Director's Cut: Dual Shock Edition,PS,1997,Action,Capcom,0,0,0.16,0.01,0.17,,,,
Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009,Adventure,Ubisoft,0.07,0.08,0,0.02,0.17,,,,
PlayStation Move Heroes,PS3,2011,Platform,Sony Computer Entertainment,0.08,0.06,0,0.03,0.17,,,6.1,16
The King of Fighters '95,PS,1996,Fighting,Sony Computer Entertainment,0,0,0.16,0.01,0.17,,,,
RoadKill,PS2,2003,Action,Midway Games,0.08,0.07,0,0.02,0.17,,,7.9,11
Hanjuku Eiyuu Tai 3D,PS2,2003,Role-Playing,Square Enix,0,0,0.17,0,0.17,,,,
.hack//G.U. Vol.3//Redemption,PS2,2007,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000,Strategy,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Looney Tunes: Back in Action,GC,2003,Platform,Warner Bros. Interactive Entertainment,0.13,0.03,0,0,0.17,,,5,4
Marvel Super Hero Squad: The Infinity Gauntlet,PS3,2010,Action,THQ,0.12,0.03,0,0.02,0.17,,,tbd,
The Chronicles of Narnia: Prince Caspian,PS3,2008,Action,Disney Interactive Studios,0.14,0.01,0,0.02,0.17,,,5.6,8
Tak: The Great Juju Challenge,GBA,2005,Platform,THQ,0.12,0.05,0,0,0.17,,,tbd,
Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2013,Misc,Konami Digital Entertainment,0,0.08,0.08,0.01,0.17,,,,
SingStar Motown,PS3,2009,Misc,Sony Computer Entertainment,0,0.15,0,0.02,0.17,,,,
Macross Ultimate Frontier,PSP,2009,Action,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Top Spin 2,X360,2006,Sports,Take-Two Interactive,0.15,0,0,0.01,0.17,,,6.8,25
Hunter: The Reckoning Redeemer,XB,2003,Action,Interplay,0.13,0.04,0,0.01,0.17,,,8.6,5
Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0,0.03,0.17,,,8.5,41
Captain America: Super Soldier,X360,2011,Action,Sega,0.11,0.05,0,0.01,0.17,,,6.4,37
Tokyo Xtreme Racer,DC,1999,Racing,Genki,0,0,0.17,0,0.17,,,,
Fighter Maker,PS,1998,Fighting,Agetec,0.05,0.04,0.07,0.01,0.17,,,,
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.08,0.05,0,0.04,0.17,,,8.7,140
Thief: Deadly Shadows,XB,2004,Action,Eidos Interactive,0.13,0.04,0,0.01,0.17,,,7.3,12
Monkey Island: Special Edition Collection,PC,2011,Adventure,LucasArts,0,0.14,0,0.03,0.17,,,,
MotoGP 10/11,PS3,2011,Racing,Capcom,0.04,0.1,0,0.03,0.17,,,6.1,23
NBA 09: The Inside,PSP,2008,Sports,Sony Computer Entertainment,0.16,0,0,0.01,0.17,,,7.4,7
Batman Begins,GBA,2005,Action,Electronic Arts,0.12,0.05,0,0,0.17,,,6.9,9
Mercury Meltdown Revolution,Wii,2007,Action,Ignition Entertainment,0.16,0,0,0.01,0.17,,,7.4,16
Glover,PS,1999,Platform,Atari,0.09,0.06,0,0.01,0.17,,,,
Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.12,0.05,0,0,0.17,,,,
Country Dance: All Stars,X360,2012,Action,GameMill Entertainment,0.16,0,0,0.01,0.17,,,5.2,5
Let's TAP,Wii,2008,Misc,Sega,0.08,0.06,0.01,0.02,0.17,,,6.6,11
James Cameron's Dark Angel,PS2,N/A,Action,Universal Interactive,0.08,0.07,0,0.02,0.17,,,6.5,19
Mahjong Fight Club,PSP,2004,Misc,Konami Digital Entertainment,0,0,0.17,0,0.17,,,,
Turok 3: Shadow of Oblivion,N64,2000,Shooter,Acclaim Entertainment,0.12,0.05,0,0,0.17,,,,
Bomberman 64: The Second Attack!,N64,1999,Adventure,Hudson Soft,0.05,0.01,0.11,0,0.17,,,,
World Driver Championship,N64,1999,Racing,Midway Games,0.14,0.03,0,0,0.17,,,,
The Lord of the Rings: Aragorn's Quest,PS3,2010,Action,Warner Bros. Interactive Entertainment,0.1,0.04,0,0.02,0.17,,,6,8
Spawn: Armageddon,XB,2003,Action,Electronic Arts,0.13,0.04,0,0.01,0.17,,,9.2,5
Project X Zone 2: Brave New World,3DS,2015,Role-Playing,Namco Bandai Games,0.05,0.03,0.08,0.01,0.17,,,,
Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.12,0.05,0,0,0.17,,,,
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.12,0.05,0,0,0.17,,,,
Major League Baseball 2K9,PS2,2009,Sports,Spike,0.08,0.06,0,0.02,0.17,,,5.4,5
Gundam Assault Survive,PSP,2010,Action,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Bee Movie Game,X360,2007,Action,Activision,0.16,0,0,0.01,0.17,,,5.8,13
Luxor 3,Wii,2008,Puzzle,Mumbo Jumbo,0.16,0,0,0.01,0.17,,,tbd,
Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008,Misc,Disney Interactive Studios,0.08,0.06,0,0.02,0.17,,,,
Jikkyou Powerful Pro Yakyuu 2013,PSP,2013,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17,,,,
Fate/Stay Night [Réalta Nua],PS2,2007,Adventure,Kadokawa Shoten,0,0,0.17,0,0.17,,,,
Disney's Home on the Range,GBA,2004,Action,Disney Interactive Studios,0.12,0.04,0,0,0.17,,,tbd,
The Rise of the Argonauts,X360,2008,Role-Playing,Codemasters,0.03,0.12,0,0.01,0.17,,,,
Conception II: Children of the Seven Stars,PSV,2013,Role-Playing,Screenlife,0.1,0,0.04,0.03,0.17,,,7.6,118
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.09,0.06,0,0.01,0.17,,,7.2,175
Space Griffon VF-9,PS,1995,Role-Playing,Panther Software,0.02,0.02,0.12,0.01,0.17,,,,
Professor Heinz Wolff's Gravity,Wii,2008,Puzzle,Deep Silver,0.04,0.12,0,0.02,0.17,,,7.7,7
.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,,,,
Transformers: Dark of the Moon,Wii,2011,Action,Activision,0.09,0.06,0,0.02,0.17,,,,
FaceBreaker,PS3,2008,Fighting,Electronic Arts,0.13,0.02,0,0.02,0.17,,,3.8,20
Star Wars: Battlefront II,PC,2005,Shooter,LucasArts,0.02,0.13,0,0.02,0.17,,,8.8,431
Michael Jackson: The Experience 3D,3DS,2011,Misc,Ubisoft,0.13,0.03,0,0.01,0.17,,,,
Gyakuten Saiban 3,GBA,2004,Adventure,Capcom,0,0,0.16,0,0.17,,,,
Digimon Story: Cyber Sleuth,PSV,2015,Role-Playing,Namco Bandai Games,0,0,0.17,0,0.17,,,8.8,92
Gallop Racer 2001,PS2,2001,Sports,Tecmo Koei,0.05,0.04,0.06,0.01,0.17,,,9.1,56
Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,0.13,0.02,0,0.02,0.17,,,6.1,10
Nightmare Creatures II,PS,2000,Action,Konami Digital Entertainment,0.09,0.06,0,0.01,0.17,,,,
MotoGP 09/10,X360,2010,Racing,Capcom,0.07,0.09,0,0.02,0.17,,,5.7,41
Bratz Kidz,Wii,2008,Misc,Game Factory,0.16,0,0,0.01,0.17,,,tbd,
N3 II: Ninety-Nine Nights,X360,2010,Action,Microsoft Game Studios,0.06,0.06,0.04,0.01,0.17,,,,
Catwoman,PS2,2004,Action,Electronic Arts,0.08,0.06,0,0.02,0.17,,,6.9,13
Garfield: Lasagna World Tour,PS2,2007,Action,Blast! Entertainment Ltd,0.08,0.06,0,0.02,0.17,,,tbd,
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004,Misc,N/A,0.12,0.04,0,0,0.17,,,,
Bomberman B-Daman,SNES,1996,Shooter,Hudson Soft,0,0,0.17,0,0.17,,,,
